acdnt_cause_asort_nm,현상번호
익수,소낙비
익수,소낙눈
익수,소낙눈
수난기타,소낙눈
익수,소낙눈
수난기타,비
수난기타,비
수난기타,박무
차량추락,비
차량추락,박무
익수,박무
익수,안개
자살기도,비
수난기타,안개
물놀이,박무
수난기타,박무
익수,비
수난기타,비
익수,박무
수난기타,비
자살기도,박무
수난기타,비
선박,비
선박,비
선박,비
사체인양,박무
수난기타,비
수난기타,비
수난기타,비
차량추락,비
익수,비
물놀이,비
익수,비
수난기타,비
수난기타,비
자살기도,비
자살기도,비
무동력수상레져,박무
선박,비
수난기타,비
수난기타,비
물놀이,안개
수난기타,비
차량추락,비
사체인양,소낙눈
익수,박무
익수,박무
수난기타,박무
수난기타,비
수난기타,비
수난기타,연무
수난기타,연무
익수,비
수난기타,안개
수난기타,천둥
선박,박무
선박,비
선박,비
선박,비
차량추락,박무
자살기도,비
자살기도,비
수난기타,비
수난기타,비
익수,소낙눈
익수,소낙눈
수난기타,소낙눈
익수,비
자살기도,비
선박,박무
수난기타,박무
수난기타,비
자살기도,박무
수난기타,비
익수,박무
자살기도,박무
자살기도,박무
익수,박무
익수,소낙비
자살기도,소낙비
수난기타,비
수난기타,비
익수,비
수난기타,비
익수,비
수난기타,비
수난기타,비
수난기타,연무
익수,비
수난기타,비
수난기타,비
선박,황사
수난기타,안개
수난기타,박무
차량추락,박무
익수,비
수난기타,박무
자살기도,비
물놀이,비
자살기도,천둥
수난기타,비
물놀이,안개
선박,안개
수난기타,박무
익수,비
자살기도,비
수난기타,박무
익수,박무
익수,박무
익수,박무
수난기타,비
수난기타,소낙비
수난기타,비
수난기타,비
자살기도,비
수난기타,소낙비
수난기타,박무
수난기타,박무
수난기타,비
수난기타,황사
수난기타,황사
익수,박무
수난기타,비
익수,비
자살기도,박무
익수,비
자살기도,비
수난기타,박무
수난기타,박무
자살기도,박무
익수,박무
수난기타,박무
수난기타,비
사체인양,박무
수난기타,박무
익수,소낙비
수난기타,비
자살기도,비
익수,비
수난기타,박무
자살기도,박무
익수,소낙비
익수,소낙비
수난기타,박무
수난기타,비
수난기타,비
수난기타,박무
수난기타,박무
수난기타,비
익수,소낙비
물놀이,소낙비
수난기타,비
익수,비
익수,비
익수,비
익수,비
물놀이,비
수난기타,비
시설물 침수,소낙눈
시설물 침수,소낙눈
기타 수난,비
기타 수난,비
기타 수난,박무
기타 수난,박무
기타 수난,박무
기타 수난,박무
무동력수상레져,비
무동력수상레져,비
무동력수상레져,비
기타 수난,비
기타 수난,비
기타 수난,박무
기타 수난,소낙성 진눈깨비
기타 수난,박무
시설물 침수,비
기타 수난,비
기타 수난,박무
기타 수난,박무
기타 수난,박무
수상표류,박무
기타 수난,박무
기타 수난,박무
기타 수난,박무
물놀이 익수,박무
수상표류,비
기타 수난,비
시설물 침수,비
시설물 침수,비
시설물 침수,비
시설물 침수,비
시설물 침수,비
시설물 침수,비
시설물 침수,비
시설물 침수,비
시설물 침수,비
기타 수난,비
기타 수난,비
기타 수난,비
계곡·급류사고,비
기타 수난,비
기타 수난,비
기타 수난,비
기타 수난,비
기타 수난,박무
기타 수난,비
시설물 침수,진눈깨비
기타 수난,비
기타 수난,연무
기타 수난,연무
기타 수난,박무
시설물 침수,박무
기타 수난,박무
기타 수난,박무
기타 수난,박무
기타 수난,박무
기타 수난,비
시설물 침수,비
어패류 채취 익수,비
기타 수난,비
시설물 침수,비
기타 수난,박무
기타 수난,박무
기타 수난,박무
계곡·급류사고,박무
기타 수난,비
시설물 침수,비
시설물 침수,비
기타 수난,비
시설물 침수,비
시설물 침수,비
차량추락 침수,비
차량추락 침수,비
시설물 침수,비
어패류 채취 익수,비
기타 수난,비
기타 수난,박무
물놀이 익수,황사
기타 수난,비
기타 수난,비
기타 수난,비
기타 수난,비
기타 수난,비
기타 수난,박무
기타 수난,박무
기타 수난,박무
기타 수난,박무
기타 수난,박무
기타 수난,박무
기타 수난,박무
무동력수상레져,비
선박조난,비
기타 수난,비
기타 수난,박무
기타 수난,박무
기타 수난,박무
기타 수난,비
기타 수난,박무
기타 수난,박무
기타 수난,비
기타 수난,비
기타 수난,박무
시설물 침수,비
시설물 침수,비
기타 수난,박무
기타 수난,비
기타 수난,비
기타 수난,비
기타 수난,비
계곡·급류사고,비
기타 수난,비
시설물 침수,비
계곡·급류사고,비
수상표류,비
기타 수난,박무
수상표류,박무
기타 수난,박무
물놀이 익수,비
물놀이 익수,비
수상표류,비
수상표류,비
계곡·급류사고,비
시설물 침수,박무
기타 수난,비
선박조난,비
물놀이 익수,비
기타 수난,비
수상표류,눈
시설물 침수,비
기타 수난,비
수난기타,소낙비
수난기타,소낙비
수난기타,뇌전
수난기타,박무
수난기타,비
수난기타,박무
자살기도,박무
익수,박무
수난기타,박무
선박,박무
선박,박무
선박,박무
차량추락,박무
수난기타,박무
수난기타,박무
수난기타,박무
차량추락,박무
수난기타,박무
수난기타,박무
선박,박무
선박,박무
수난기타,박무
수난기타,박무
익수,박무
수난기타,박무
수난기타,박무
수난기타,박무
수난기타,박무
익수,박무
수난기타,박무
익수,박무
기타 수난,박무
시설물 침수,박무
시설물 침수,박무
시설물 침수,박무
시설물 침수,박무
시설물 침수,박무
시설물 침수,박무
시설물 침수,박무
시설물 침수,박무
시설물 침수,박무
시설물 침수,박무
기타 수난,박무
기타 수난,박무
기타 수난,박무
기타 수난,박무
시설물 침수,박무
어패류 채취 익수,박무
기타 수난,박무
시설물 침수,박무
시설물 침수,박무
시설물 침수,박무
시설물 침수,박무
차량추락 침수,박무
차량추락 침수,박무
시설물 침수,박무
기타 수난,박무
무동력수상레져,박무
선박조난,박무
기타 수난,박무
기타 수난,박무
기타 수난,박무
시설물 침수,박무
시설물 침수,박무
기타 수난,박무
기타 수난,박무
기타 수난,박무
기타 수난,박무
계곡·급류사고,박무
기타 수난,박무
시설물 침수,박무
계곡·급류사고,박무
수상표류,박무
계곡·급류사고,박무
수상표류,안개
기타 수난,안개
익수,안개
익수,비
익수,이슬비
익수,이슬비
수난기타,이슬비
시설물 침수,이슬비
수난기타,이슬비
기타 수난,이슬비
기타 수난,이슬비
수난기타,비
기타 수난,비
기타 수난,비
익수,소낙성 진눈깨비
수난기타,안개
수난기타,소낙비
수난기타,뇌전
수난기타,박무
수난기타,소낙비
기타 수난,진눈깨비
수난기타,황사
자살기도,박무
자살기도,비
수난기타,황사
